Estonian,English
on,is
ma,I
ei,not
sa,you
see,it
et,to
ja,and
ta,she
kui,than
seda,that
kas,whether
me,we
mis,what
mida,what
pole,no
jah,yea
aga,but
oma,your
siis,then
nii,so
olen,I am
ära,out
oli,was
oled,you are
mu,my
siin,here
kõik,all
nad,they
selle,its
midagi,something
mind,me
te,you
mul,I have
mulle,me
minu,my
kes,who
su,su
nüüd,now
sind,you
kuidas,how
ole,be
ka,also
mitte,not
välja,out
tema,his
nagu,like
mina,me
sinu,yours
miks,Why
sulle,for you
veel,more
või,or
meie,U.S
tagasi,ago
sul,you
hea,good
küll,Hawk
sina,you
väga,very
teda,"him, her"
saa,get
seal,there
teie,your
lihtsalt,just
üks,one
need,they
kus,where
oleks,would be
palju,many
tea,know
teha,do
tead,know
siia,here
kuid,but
hästi,well
pärast,after
palun,Please
tean,know
eest,for
olla,to be
sellest,on
meil,U.S
tere,Hello
tule,come
juba,already
oleme,are
olgu,whether
keegi,someone
isa,father
ainult,only
peale,on
pean,must
tahad,want
neid,them
tahan,want
ju,after all
talle,it
kunagi,ever
sest,because
just,just